Camera ID; multiple rows for cameras with multiple snowy windows.,"The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The first date of a snow event - flagging all imagery with any snow in the focal area (across all ROI's) as snowy. Snow in distance not included here. Of highest priority was interannual, intracamera consistency. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD","The last date (inclusive) of a snow event i.e., the listed day contains snow and the following day is snow free. Format YYYY-MM-DD"
GB-04,2020,11,7,2020,11,15
GB-04,2020,11,18,2020,11,29
GB-04,2020,12,12,2021,1,9
GB-04,2021,1,19,2021,1,20
GB-04,2021,1,22,2021,2,4
GB-04,2021,2,9,2021,2,10
GB-04,2021,2,12,2021,4,29
GB-04,2021,5,17,2021,5,17
GB-04,2021,5,21,2021,5,26
GB-05,2018,10,7,2018,10,7
GB-05,2018,11,22,2019,7,3
GB-05,2019,9,29,2019,9,29
GB-05,2019,11,20,2020,6,11
GB-05,2020,6,13,2020,6,13
GB-05,2020,11,7,2021,6,6
GB-06,2018,10,7,2018,10,7
GB-06,2018,11,22,2019,6,17
GB-06,2019,9,29,2019,10,4
GB-06,2019,11,20,2020,6,11
GB-06,2020,6,13,2020,6,15
GB-06,2020,11,7,2021,6,3
GB-07,2018,8,3,2018,10,20
GB-07,2018,10,22,2019,7,4
GB-07,2019,8,19,2019,8,19
GB-07,2019,8,29,2019,9,11
GB-07,2019,10,20,2020,5,26
GB-07,2020,11,7,2021,6,6
GB-08,2019,11,20,2019,11,24
GB-08,2019,11,27,2020,2,12
GB-08,2020,2,22,2020,2,23
GB-08,2020,3,1,2020,3,4
GB-08,2020,3,11,2020,3,11
GB-08,2020,3,15,2020,4,30
GB-08,2020,5,18,2020,5,21
GB-08,2020,6,13,2020,6,13
GB-08,2020,11,7,2020,11,23
GB-08,2020,12,12,2021,1,13
GB-08,2021,1,19,2021,1,19
GB-08,2021,1,22,2021,3,2
GB-08,2021,3,10,2021,4,2
GB-08,2021,4,15,2021,4,15
GB-08,2021,4,21,2021,4,21
GB-08,2021,4,25,2021,4,28
GB-08,2021,5,21,2021,5,26
GB-09,2019,5,20,2019,7,28
GB-09,2019,9,29,2019,10,1
GB-09,2019,11,20,2020,5,27
GB-09,2020,6,7,2020,6,7
GB-09,2020,6,13,2020,6,13
GB-10,2019,9,29,2019,9,29
GB-10,2019,11,20,2020,5,8
GB-10,2020,5,18,2020,5,22
GB-10,2020,11,7,2020,11,15
GB-10,2020,11,18,2020,11,27
GB-10,2020,12,12,2021,1,11
GB-10,2021,1,19,2021,1,20
GB-10,2021,1,22,2021,2,5
GB-10,2021,2,9,2021,4,22
GB-10,2021,4,25,2021,4,28
GB-10,2021,5,16,2021,5,17
GB-10,2021,5,21,2021,5,27
GB-12,2019,9,29,2019,9,29
GB-12,2019,11,20,2020,5,5
GB-12,2020,5,18,2020,5,20
GB-12,2020,6,13,2020,6,13
GB-12,2020,11,7,2021,4,29
GB-12,2021,5,21,2021,5,24
GB-13,2018,11,22,2019,6,12
GB-13,2019,9,29,2019,9,29
GB-13,2019,11,20,2020,5,9
GB-13,2020,5,18,2020,5,19
GB-13,2020,11,7,2021,4,30
GB-13,2021,5,21,2021,5,25
GB-14,2019,9,29,2019,10,1
GB-14,2019,11,20,2020,5,16
GB-14,2020,5,18,2020,5,25
GB-14,2020,11,7,2021,5,3
GB-14,2021,5,17,2021,5,17
GB-14,2021,5,21,2021,5,28
GB-15,2019,11,20,2019,11,24
GB-15,2019,11,27,2020,3,8
GB-15,2020,3,11,2020,3,12
GB-15,2020,3,15,2020,4,26
GB-15,2020,11,7,2020,11,15
GB-15,2020,11,18,2020,11,23
GB-15,2020,12,12,2021,4,15
GB-15,2021,4,25,2021,4,28
GB-15,2021,5,21,2021,5,23
LN-02,2019,10,28,2019,10,28
LN-02,2019,11,20,2020,6,1
LN-02,2020,11,7,2020,11,16
LN-02,2020,11,26,2020,11,26
LN-02,2020,12,7,2020,12,10
LN-02,2020,12,12,2021,4,22
LN-02,2021,4,27,2021,4,28
LN-02,2021,5,21,2021,5,23
LN-03,2019,11,20,2020,5,31
LN-03,2020,11,7,2020,11,27
LN-03,2020,12,7,2020,12,10
LN-03,2020,12,12,2021,4,11
LN-03,2021,4,17,2021,4,17
LN-03,2021,4,27,2021,4,28
LN-03,2021,5,21,2021,5,23
LN-04,2019,11,20,2020,5,5
LN-04,2020,11,7,2020,11,16
LN-04,2020,11,26,2020,11,26
LN-04,2020,12,7,2020,12,7
LN-04,2020,12,14,2021,4,17
LN-04,2021,4,27,2021,4,27
LN-04,2021,5,21,2021,5,21
LN-05,2019,11,21,2019,11,24
LN-05,2019,11,27,2019,12,6
LN-05,2019,12,23,2020,1,12
LN-05,2020,1,17,2020,1,23
LN-05,2020,2,22,2020,2,23
LN-05,2020,3,2,2020,3,3
LN-05,2020,4,8,2020,4,11
LN-05,2020,12,27,2021,1,13
LN-05,2021,1,27,2021,2,5
LN-05,2021,2,12,2021,2,12
LN-05,2021,3,12,2021,3,13
LN-07,2019,11,20,2020,2,11
LN-07,2020,2,22,2020,2,24
LN-07,2020,3,1,2020,3,3
LN-07,2020,3,10,2020,3,11
LN-07,2020,3,17,2020,3,24
LN-07,2020,3,26,2020,3,29
LN-07,2020,4,6,2020,4,15
LN-07,2020,11,7,2020,11,9
LN-07,2020,12,7,2020,12,7
LN-07,2020,12,14,2021,2,20
LN-07,2021,3,10,2021,3,15
LN-07,2021,5,21,2021,5,21
LN-08,2018,10,7,2018,10,7
LN-08,2018,11,22,2018,11,25
LN-08,2018,11,28,2019,3,31
LN-08,2019,4,2,2019,4,2
LN-08,2019,4,10,2019,4,10
LN-08,2019,4,12,2019,4,17
LN-08,2019,4,29,2019,4,29
LN-08,2019,5,10,2019,5,17
LN-08,2019,5,19,2019,5,20
LN-08,2019,5,22,2019,6,3
LN-08,2019,11,20,2020,2,13
LN-08,2020,2,22,2020,5,2
LN-08,2020,5,19,2020,5,19
LN-08,2020,11,7,2020,11,14
LN-08,2020,11,26,2020,11,26
LN-08,2020,12,7,2020,12,7
LN-08,2020,12,12,2021,2,6
LN-08,2021,2,12,2021,3,2
LN-08,2021,3,10,2021,3,31
LN-08,2021,4,17,2021,4,17
LN-08,2021,4,27,2021,4,28
LN-08,2021,5,21,2021,5,22
LN-09,2019,11,21,2019,11,22
LN-09,2019,11,27,2019,12,4
LN-09,2019,12,23,2020,1,1
LN-09,2020,1,17,2020,1,20
LN-09,2020,2,22,2020,2,22
LN-09,2020,3,2,2020,3,2
LN-09,2020,4,8,2020,4,10
LN-09,2020,12,27,2021,1,4
LN-09,2021,1,27,2021,2,2
LN-09,2021,3,12,2021,3,12
LN-10,2019,11,21,2019,11,24
LN-10,2019,11,27,2019,12,7
LN-10,2019,12,23,2020,1,11
LN-10,2020,1,17,2020,1,24
LN-10,2020,2,22,2020,2,22
LN-10,2020,3,2,2020,3,3
LN-10,2020,3,20,2020,3,20
LN-10,2020,3,27,2020,3,27
LN-10,2020,4,8,2020,4,10
LN-10,2020,12,14,2020,12,14
LN-10,2020,12,27,2021,1,17
LN-10,2021,1,27,2021,2,10
LN-10,2021,3,12,2021,3,13
LN-11,2019,11,20,2020,5,8
LN-11,2020,5,19,2020,5,20
LN-11,2020,11,7,2020,11,17
LN-11,2020,11,26,2020,11,27
LN-11,2020,12,7,2020,12,9
LN-11,2020,12,12,2021,4,7
LN-11,2021,4,27,2021,4,27
LN-11,2021,5,21,2021,5,21
LN-13,2019,8,9,2019,8,12
LN-13,2019,11,20,2020,6,18
LN-13,2020,11,7,2020,11,19
LN-13,2020,12,7,2020,12,9
LN-13,2020,12,12,2020,12,12
LN-13,2020,12,14,2021,5,3
LN-13,2021,5,21,2021,5,23
LN-14,2019,12,21,2020,6,10
LN-14,2020,6,19,2020,6,20
LN-14,2020,12,8,2020,12,19
LN-14,2020,12,27,2020,12,27
LN-14,2021,1,7,2021,1,10
LN-14,2021,1,12,2021,1,12
LN-14,2021,1,14,2021,2,16
LN-14,2021,2,19,2021,3,29
LN-14,2021,4,10,2021,5,9
LN-14,2021,5,18,2021,5,18
LN-14,2021,5,28,2021,5,29
LN-14,2021,6,21,2021,6,23
LN-15,2019,10,28,2019,10,29
LN-15,2019,11,20,2020,6,3
LN-15,2020,11,7,2020,11,18
LN-15,2020,11,26,2020,11,26
LN-15,2020,12,7,2020,12,12
LN-15,2020,12,14,2021,5,4
LN-15,2021,5,21,2021,5,23
OL-01,2020,1,1,2020,1,14
OL-01,2020,1,17,2020,1,17
OL-01,2020,3,2,2020,3,2
OL-01,2020,3,27,2020,3,27
OL-01,2020,4,8,2020,4,9
OL-01,2020,11,8,2020,11,8
OL-01,2020,12,27,2021,1,13
OL-01,2021,1,23,2021,1,23
OL-01,2021,1,27,2021,2,2
OL-01,2021,3,12,2021,3,12
OL-02,2020,12,27,2020,12,29
OL-02,2021,1,27,2021,1,27
OL-03,2019,11,21,2019,12,7
OL-03,2019,12,23,2020,1,22
OL-03,2020,3,2,2020,3,3
OL-03,2020,3,27,2020,3,27
OL-03,2020,4,8,2020,4,9
OL-03,2020,11,8,2020,11,8
OL-03,2020,12,27,2021,1,18
OL-03,2021,1,23,2021,1,25
OL-03,2021,1,27,2021,2,8
OL-03,2021,3,12,2021,3,12
OL-04,2018,12,6,2018,12,7
OL-04,2019,1,15,2019,1,16
OL-04,2019,2,5,2019,2,7
OL-04,2019,2,11,2019,2,11
OL-04,2019,11,21,2019,11,21
OL-04,2019,11,27,2019,12,2
OL-04,2019,12,23,2019,12,23
OL-04,2019,12,26,2019,12,29
OL-04,2020,3,2,2020,3,2
OL-04,2020,4,8,2020,4,8
OL-04,2020,12,27,2020,12,29
OL-04,2020,1,27,2020,1,28
OL-04,2021,3,12,2021,3,12
OL-05,2019,11,20,2020,5,4
OL-05,2020,5,19,2020,5,20
OL-05,2020,11,7,2020,11,19
OL-05,2020,12,7,2020,12,7
OL-05,2020,12,14,2021,4,2
OL-05,2020,4,26,2020,4,28
OL-06,2018,11,30,2018,11,30
OL-06,2018,12,6,2018,12,8
OL-06,2019,1,7,2019,1,7
OL-06,2019,1,12,2019,1,12
OL-06,2019,1,14,2019,1,17
OL-06,2019,2,3,2019,2,12
OL-06,2019,3,6,2019,3,6
OL-06,2019,3,21,2019,3,21
OL-06,2019,11,21,2019,11,23
OL-06,2019,11,27,2019,12,2
OL-06,2019,12,23,2019,12,31
OL-06,2020,1,17,2020,1,17
OL-06,2020,2,22,2020,2,22
OL-06,2020,3,2,2020,3,2
OL-06,2020,4,8,2020,4,10
OL-06,2020,12,27,2021,1,1
OL-06,2021,1,27,2021,1,30
OL-06,2021,3,12,2021,3,12
OL-07,2018,11,29,2018,12,2
OL-07,2018,12,6,2018,12,9
OL-07,2019,1,7,2019,1,8
OL-07,2019,1,12,2019,1,22
OL-07,2019,2,2,2019,2,23
OL-07,2019,3,6,2019,3,12
OL-07,2019,3,21,2019,3,21
OL-07,2019,11,21,2019,11,23
OL-07,2019,11,27,2019,12,6
OL-07,2019,12,23,2020,1,2
OL-07,2020,1,17,2020,1,19
OL-07,2020,2,22,2020,2,23
OL-07,2020,3,2,2020,3,2
OL-07,2020,3,11,2020,3,11
OL-07,2020,3,17,2020,3,17
OL-07,2020,3,21,2020,3,21
OL-07,2020,3,23,2020,3,23
OL-07,2020,3,27,2020,3,27
OL-07,2020,4,6,2020,4,11
OL-07,2020,11,8,2020,11,8
OL-07,2020,12,27,2020,12,31
OL-07,2021,1,27,2021,2,1
OL-07,2021,3,12,2021,3,12
OL-08,2019,11,21,2019,11,24
OL-08,2019,11,27,2019,12,4
OL-08,2019,12,23,2020,1,2
OL-08,2020,1,17,2020,1,17
OL-08,2020,2,22,2020,2,23
OL-08,2020,3,2,2020,3,2
OL-08,2020,3,27,2020,3,27
OL-08,2020,4,6,2020,4,6
OL-08,2020,4,8,2020,4,11
OL-08,2020,11,8,2020,11,8
OL-08,2020,12,27,2021,1,4
OL-08,2021,1,23,2021,1,23
OL-08,2021,1,27,2021,1,31
OL-08,2021,3,12,2021,3,12
OL-09,2019,11,20,2020,5,7
OL-09,2020,5,18,2020,5,20
OL-09,2020,11,7,2020,11,16
OL-09,2020,11,18,2020,11,18
OL-09,2020,12,7,2020,12,7
OL-09,2020,12,14,2021,1,15
OL-09,2021,1,19,2021,3,5
OL-09,2021,3,10,2021,3,30
OL-09,2021,4,22,2021,4,22
OL-09,2021,4,28,2021,4,28
OL-10,2019,11,20,2020,3,5
OL-10,2020,3,10,2020,4,27
OL-10,2020,5,19,2020,5,19
OL-10,2020,11,8,2020,11,14
OL-10,2020,12,7,2020,12,7
OL-10,2020,12,14,2020,12,20
OL-10,2020,12,27,2021,1,9
OL-10,2021,1,19,2021,1,20
OL-10,2021,1,23,2021,2,27
OL-10,2021,3,10,2021,3,17
OL-10,2021,3,20,2021,3,21
OL-10,2021,3,26,2021,3,26
OL-10,2021,4,27,2021,4,27
OL-12,2020,11,8,2020,11,13
OL-12,2020,12,14,2021,4,8
OL-13,2020,11,7,2020,11,15
OL-13,2020,12,7,2020,12,7
OL-13,2020,12,14,2020,12,20
OL-13,2020,12,27,2021,1,10
OL-13,2021,1,19,2021,1,21
OL-13,2021,1,23,2021,3,7
OL-13,2021,3,10,2021,3,27
OL-13,2021,4,27,2021,4,28
OL-14,2019,10,28,2019,10,28
OL-14,2019,11,20,2020,1,25
OL-14,2020,1,29,2020,2,9
OL-14,2020,2,22,2020,4,28
OL-14,2020,5,19,2020,5,19
OL-14,2020,11,7,2020,11,18
OL-14,2020,12,7,2020,12,7
OL-14,2020,12,14,2021,1,10
OL-14,2021,1,19,2021,2,7
OL-14,2021,2,12,2021,3,6
OL-14,2021,3,10,2021,3,29
OL-14,2021,4,26,2021,4,28
OL-15,2019,11,20,2020,4,24
OL-15,2020,11,8,2020,11,14
OL-15,2020,12,7,2020,12,7
OL-15,2020,12,14,2020,12,25
OL-15,2020,12,27,2021,1,14
OL-15,2021,1,19,2021,1,20
OL-15,2021,1,23,2021,2,28
OL-15,2021,3,10,2021,3,17
OL-15,2021,3,20,2021,3,22
OL-15,2021,3,26,2021,3,26
OL-15,2021,4,27,2021,4,27
SW-01,2020,11,7,2020,11,20
SW-01,2020,11,23,2020,11,23
SW-01,2020,12,7,2020,12,9
SW-01,2020,12,12,2021,4,17
SW-02,2019,7,5,2019,7,12
SW-02,2019,9,29,2019,9,29
SW-02,2019,10,28,2019,10,28
SW-02,2019,11,20,2020,5,15
SW-02,2020,5,19,2020,5,21
SW-02,2020,11,7,2021,5,3
SW-02,2021,5,5,2021,5,6
SW-02,2021,5,21,2021,5,23
SW-03,2019,10,28,2019,10,28
SW-03,2019,11,20,2020,5,16
SW-03,2020,5,18,2020,5,20
SW-03,2020,11,7,2021,4,28
SW-03,2021,5,21,2021,5,23
SW-04,2019,11,20,2020,4,29
SW-04,2020,11,7,2020,11,15
SW-04,2020,11,18,2020,11,18
SW-04,2020,12,7,2020,12,8
SW-04,2020,12,12,2021,4,12
SW-05,2019,11,20,2020,1,26
SW-05,2020,2,22,2020,2,23
SW-05,2020,3,1,2020,3,2
SW-05,2020,3,11,2020,3,11
SW-05,2020,3,17,2020,3,23
SW-05,2020,4,6,2020,4,6
SW-05,2020,4,8,2020,4,12
SW-05,2020,12,17,2020,12,20
SW-05,2020,12,28,2021,1,15
SW-05,2021,1,23,2021,1,23
SW-05,2021,1,27,2021,2,21
SW-05,2021,3,11,2021,3,13
SW-06,2019,9,29,2019,9,29
SW-06,2019,10,28,2019,10,29
SW-06,2019,11,20,2020,5,8
SW-06,2020,5,18,2020,5,20
SW-06,2020,11,7,2020,11,30
SW-06,2020,12,7,2020,12,9
SW-06,2020,12,12,2021,4,23
SW-06,2021,4,26,2021,4,26
SW-06,2021,5,21,2021,5,23
SW-07,2019,10,28,2019,10,28
SW-07,2019,11,20,2020,5,17
SW-07,2020,5,19,2020,5,20
SW-07,2020,11,7,2020,11,16
SW-07,2020,11,18,2020,12,9
